customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-0001,Female,0,No,Yes,27,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,103.96,2812.51,Yes
CUST-0002,Male,0,No,Yes,21,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),135.21,2828.58,No
CUST-0003,Female,0,No,Yes,15,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No,Two year,Yes,Mailed check,104.57,1566.32,Yes
CUST-0004,Female,1,Yes,Yes,12,Yes,No,DSL,Yes,No,No,No,Yes,Yes,Two year,No,Credit card (automatic),89.63,1078.81,No
CUST-0005,Female,0,Yes,Yes,61,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,One year,Yes,Credit card (automatic),112.19,6844.53,No
CUST-0006,Male,0,Yes,No,42,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,43.81,1832.17,Yes
CUST-0007,Female,1,Yes,Yes,31,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,32.43,1007.28,No
CUST-0008,Female,0,No,Yes,66,Yes,Yes,DSL,No,Yes,No,No,Yes,No,Month-to-month,No,Mailed check,95.91,6326.37,Yes
CUST-0009,Female,0,No,No,56,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,46.59,2610.75,No
CUST-0010,Male,1,No,No,64,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),103.68,6628.94,No
CUST-0011,Female,0,No,No,68,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,One year,Yes,Electronic check,98.5,6697.8,Yes
CUST-0012,Female,1,Yes,No,48,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Two year,No,Credit card (automatic),99.52,4783.45,No
CUST-0013,Female,0,No,No,32,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,112.91,3611.2,Yes
CUST-0014,Female,0,Yes,Yes,18,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),43.19,784.43,No
CUST-0015,Male,0,No,Yes,35,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Two year,Yes,Credit card (automatic),120.23,4202.14,No
CUST-0016,Female,1,No,Yes,69,Yes,No,DSL,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),79.51,5484.1,No
CUST-0017,Male,0,No,Yes,14,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,One year,No,Bank transfer (automatic),116.72,1636.38,No
CUST-0018,Male,0,Yes,Yes,23,Yes,Yes,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),94.42,2168.39,Yes
CUST-0019,Male,0,Yes,Yes,26,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Credit card (automatic),104.77,2722.37,Yes
CUST-0020,Female,0,No,Yes,48,Yes,Yes,DSL,No,Yes,No,No,No,No,One year,No,Mailed check,84.13,4032.33,No
CUST-0021,Male,0,No,Yes,22,Yes,Yes,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,91.48,2004.14,No
CUST-0022,Female,0,No,Yes,32,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),27.6,884.81,No
CUST-0023,Male,0,Yes,No,40,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,127.55,5100.33,Yes
CUST-0024,Male,0,Yes,Yes,55,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),114.24,6289.04,Yes
CUST-0025,Male,0,Yes,No,28,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,106.6,2979.1,Yes
CUST-0026,Male,0,No,Yes,30,No,No phone service,DSL,No,No,Yes,No,No,No,Two year,Yes,Electronic check,54.3,1626.82,No
CUST-0027,Male,0,Yes,No,64,No,No phone service,DSL,Yes,No,No,Yes,No,No,Two year,Yes,Mailed check,66.22,4234.5,No
CUST-0028,Male,1,No,No,17,No,No phone service,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),105.76,1793.12,Yes
CUST-0029,Male,0,Yes,Yes,5,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Two year,Yes,Electronic check,106.01,536.69,Yes
CUST-0030,Male,1,No,Yes,51,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),28.9,1468.93,No
CUST-0031,Female,0,No,Yes,39,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),29.37,1145.44,Yes
CUST-0032,Female,0,Yes,No,64,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),31.12,1992.54,No
CUST-0033,Male,0,No,No,41,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,31.04,1267.58,Yes
CUST-0034,Male,0,No,No,67,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,111.62,7482.59,Yes
CUST-0035,Male,0,No,Yes,31,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,30.17,929.58,No
CUST-0036,Female,0,Yes,Yes,9,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Two year,Yes,Electronic check,109.69,992.86,No
CUST-0037,Male,0,No,No,68,Yes,No,DSL,No,No,Yes,No,Yes,No,Month-to-month,No,Credit card (automatic),79.71,5416.92,No
CUST-0038,Female,0,Yes,Yes,8,Yes,No,DSL,No,Yes,No,No,Yes,No,Two year,Yes,Bank transfer (automatic),79.38,637.12,No
